Cartesian
Radius  Average   Standard Deviation   Variance
170         41.141       0.027164    0.000737881
171         41.072      0.0415014     0.00172237
172         41.072      0.0609687     0.00371718
173         41.882      0.0499985     0.00249985
174         41.608      0.0440189     0.00193766
175         41.506      0.0668137     0.00446407
176         41.651      0.0110363    0.000121801
177         41.898      0.0940043     0.00883681
178         42.291      0.0224205    0.000502681
179         42.274      0.0771891     0.00595815
180         41.994       0.474531        0.22518
181         47.648       0.968128       0.937272
182         47.475      0.0798475     0.00637563
183         47.968       0.135595       0.018386
184         48.084      0.0605892     0.00367106
185         47.488       0.513759       0.263948
186         48.571         1.0255        1.05164
187         49.176       0.126293        0.01595
188         48.345       0.896348       0.803439
189           48.9     0.00447214          2e-05
190         48.955      0.0646686     0.00418202
191          49.79         1.4852        2.20581
192         49.365      0.0200805    0.000403225
193          49.42       0.160102      0.0256328
194         49.359      0.0202702    0.000410881
195          48.95       0.896663       0.804005
196         49.502      0.0473709       0.002244
197         49.204      0.0803196     0.00645123
198         50.175      0.0577116     0.00333063
199         51.122      0.0392654     0.00154177
200          50.28      0.0543912      0.0029584
201         50.818      0.0528606     0.00279425
202         51.243      0.0555612     0.00308705
203         51.706      0.0131481    0.000172872
204         50.519       0.933473       0.871371
205         50.872      0.0504457     0.00254477
206         51.509      0.0471496     0.00222308
207         50.898       0.138726      0.0192448
208         51.008       0.632203        0.39968
209          51.48       0.112698      0.0127008
210          51.19        0.08886      0.0078961
211         51.732      0.0567067     0.00321565
212         52.324       0.021377    0.000456976
213         52.154      0.0378343     0.00143143
214         52.407      0.0187523    0.000351649
215         55.738        0.10116      0.0102333
216         52.324       0.116245       0.013513
217         52.328       0.119495      0.0142792
218         52.389      0.0825671     0.00681732
219         53.326         1.4165        2.00648
220         52.989      0.0952162     0.00906612
221         53.126      0.0390865     0.00152775
222         53.207      0.0883224     0.00780085
223         56.442      0.0644882     0.00415873
224         53.009      0.0313382    0.000982081
225         53.104      0.0847917     0.00718963
226         53.258       0.118332      0.0140026
227          54.36       0.118064      0.0139392
228         54.319      0.0531579     0.00282576
229         54.244      0.0338093     0.00114307
230         54.182       0.089113     0.00794112
231         55.078       0.130676      0.0170762
232         54.897      0.0981255     0.00962861
233           54.7       0.728958        0.53138
234         54.347      0.0838952     0.00703841
235         54.326      0.0748636     0.00560455
236         55.148      0.0901882      0.0081339
237         57.688      0.0586744     0.00344269
238         55.172      0.0894292     0.00799758
239         55.508       0.111446      0.0124201
240         55.977      0.0955957     0.00913853
241         56.282        1.57786        2.48964
242         57.644      0.0112577    0.000126736
243           55.9       0.183358        0.03362
244         55.799       0.101225      0.0102464
245         55.012      0.0889061     0.00790429
246         56.959      0.0961649     0.00924768
247          56.95         0.1364       0.018605
248         56.869       0.225502      0.0508512
249          57.83      0.0970454      0.0094178
250         57.756      0.0709615     0.00503554
Equation of Least Mean Square
y = 9.38263 + 0.198325x
------------------------------------------------
Polar
Radius  Average   Standard Deviation   Variance
------------------------------------------------
1        3.07214     0.00322962    1.04305e-05
2        1019.56        19.9818        399.273
3        1127.76        3.09972        9.60826
4        1073.08        1.92742        3.71495
5        1051.72        4.66833        21.7933
6        1097.02        1.70772        2.91632
7        1113.95        2.24037        5.01926
8        1088.66        1.68755        2.84783
9        1135.42        1.72713        2.98298
10        1114.23        1.41661        2.00679
